iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
MRT,Mauritania,Sub-Saharan Africa,39131.72,388914.04,1674221.12,3951029.04,10206160.57,14342488.20,14333249.06,14333249.06,14333249.06
MUS,Mauritius,Sub-Saharan Africa,113538.42,1114275.76,4559392.56,9614698.21,12523185.24,12523185.24,12523185.24,12523185.24,12523185.24
MWI,Malawi,Sub-Saharan Africa,287809.15,2783672.60,10694423.10,19021200.31,18767941.73,18767941.73,18767941.73,18767941.73,18767941.73
MYS,Malaysia,East Asia & Pacific,637743.73,6377437.26,28111743.45,69514066.14,211998817.35,297275477.82,299657519.13,299657519.13,299657519.13
NAM,Namibia,Sub-Saharan Africa,85735.91,838907.57,3389917.94,6845314.65,8731369.70,8731369.70,8731369.70,8731369.70,8731369.70
NCL,New Caledonia,East Asia & Pacific,11160.53,111605.29,491956.11,1201481.24,2419458.81,2419458.81,2419458.81,2419458.81,2419458.81
NER,Niger,Sub-Saharan Africa,187140.81,1861848.24,8047456.99,19147915.45,51269725.40,82022323.97,77104144.74,77104144.74,77104144.74
NGA,Nigeria,Sub-Saharan Africa,444076.36,4417656.67,19087338.88,45381940.68,121123723.71,192246107.12,190991726.75,190991726.75,190991726.75
NIC,Nicaragua,Latin America & Caribbean,11992.96,119520.01,520007.80,1253660.47,3544173.15,7446634.67,7776618.07,7776618.07,7776618.07
NLD,Netherlands,Europe & Central Asia,3756673.34,37566733.36,165594160.63,349191502.84,470765120.77,470765120.77,470765120.77,470765120.77,470765120.77
NOR,Norway,Europe & Central Asia,3613811.57,30996759.38,73507807.89,120621766.16,206532475.20,217256930.27,217256930.27,217256930.27,217256930.27
NPL,Nepal,South Asia,87425.85,871589.87,3797424.47,9180361.58,26239849.17,57804126.99,64405435.84,64405435.84,64405435.84
NRU,Naoero,East Asia & Pacific,231.15,2311.49,10189.03,25195.20,78359.37,95213.33,95213.33,95213.33,95213.33
NZL,New Zealand,East Asia & Pacific,12544529.70,68097908.07,118792328.97,120417618.79,120513715.73,120513715.73,120513715.73,120513715.73,120513715.73
