no,mission,sat_ver,date_raw,deployed,w_dtc,working,outcome
149,Group 6-46,v2 mini,"25 March 2024, 23:42",23,,23,Success
150,Group 6-45,v2 mini,"31 March 2024, 01:30",23,,23,Success
151,Group 7-18,v2 mini,"2 April 2024, 02:30",22,,22,Success
152,Group 6-47,v2 mini,"5 April 2024, 09:12",23,,23,Success
153,Group 8-1,v2 mini,"7 April 2024, 02:25",21,6,21,Success
154,Group 6-48,v2 mini,"10 April 2024, 04:40",23,,23,Success
155,Group 6-49,v2 mini,"13 April 2024, 01:40",23,,23,Success
156,Group 6-51,v2 mini,"17 April 2024, 21:24",23,,23,Success
157,Group 6-52,v2 mini,"18 April 2024, 22:40",23,,23,Success
158,Group 6-53,v2 mini,"23 April 2024, 22:17",23,,23,Success
159,Group 6-54,v2 mini,"28 April 2024, 21:50",23,,23,Success
160,Group 6-55,v2 mini,"3 May 2024, 01:49",23,,23,Success
161,Group 6-57,v2 mini,"6 May 2024, 18:14",23,,23,Success
162,Group 6-56,v2 mini,"8 May 2024, 18:42",23,,23,Success
163,Group 8-2,v2 mini,"10 May 2024, 04:30",20,13,20,Success
164,Group 6-58,v2 mini,"13 May 2024, 00:53",23,,23,Success
165,Group 8-7,v2 mini,"14 May 2024, 18:39",20,13,20,Success
166,Group 6-59,v2 mini,"18 May 2024, 00:32",23,,23,Success
167,Group 6-62,v2 mini,"23 May 2024, 02:33",23,,23,Success
168,Group 6-63,v2 mini,"24 May 2024, 02:45",23,,23,Success
169,Group 6-60,v2 mini,"28 May 2024, 14:24",23,,23,Success
170,Group 6-64,v2 mini,"1 June 2024, 02:37",23,,23,Success
171,Group 8-5,v2 mini,"5 June 2024, 02:16",20,13,20,Success
172,Group 10-1,v2 mini,"8 June 2024, 01:56",22,,22,Success
173,Group 8-8,v2 mini,"8 June 2024, 12:58",20,13,20,Success
174,Group 9-1,v2 mini,"19 June 2024, 03:40",20,13,20,Success
175,Group 10-2,v2 mini,"23 June 2024, 17:15",22,,22,Success
176,Group 9-2,v2 mini,"24 June 2024, 03:47",20,13,20,Success
177,Group 10-3,v2 mini,"27 June 2024, 11:14",23,,23,Success
178,Group 8-9,v2 mini,"3 July 2024, 08:55",20,13,20,Success
179,Group 9-3,v2 mini,"12 July 2024, 02:39",20,13,0,Failure
180,Group 10-9,v2 mini,"27 July 2024, 05:45",23,,23,Success
181,Group 10-4,v2 mini,"28 July 2024, 04:17",23,,23,Success
182,Group 9-4,v2 mini,"28 July 2024, 07:24",21,13,21,Success
183,Group 10-6,v2 mini,"2 August 2024, 05:01",23,,23,Success
184,Group 11-1,v2 mini,"4 August 2024, 07:24",23,,23,Success
185,Group 8-3,v2 mini,"10 August 2024, 12:50",21,13,21,Success
186,Group 10-7,v2 mini,"12 August 2024, 10:37",23,,23,Success
187,Group 10-5,v2 mini,"20 August 2024, 13:20",22,,22,Success
188,Group 8-6,v2 mini,"28 August 2024, 06:54",21,13,21,Success
189,Group 8-10,v2 mini,"31 August 2024, 07:43",21,13,21,Success
190,Group 9-5,v2 mini,"31 August 2024, 08:48",21,13,21,Success
191,Group 8-11,v2 mini,"5 September 2024, 15:33",21,13,21,Success
192,Group 9-6,v2 mini,"13 September 2024, 01:45",21,13,21,Success
193,Group 9-17,v2 mini,"20 September 2024, 13:50",20,13,20,Success
194,Group 9-8,v2 mini,"25 September 2024, 04:01",20,13,20,Success
195,Group 10-10,v2 mini,"15 October 2024, 06:10",23,,23,Success
196,Group 9-7,v2 mini,"15 October 2024, 08:21",20,13,20,Success
197,Group 8-19,v2 mini,"18 October 2024, 23:31",20,13,20,Success
198,Group 6-61,v2 mini,"23 October 2024, 21:47",23,,23,Success
199,Group 10-8,v2 mini,"26 October 2024, 21:47",22,,22,Success
200,Group 9-9,v2 mini,"30 October 2024, 12:07",20,13,20,Success
201,Group 10-13,v2 mini,"30 October 2024, 21:10",23,,23,Success
202,Group 6-77,v2 mini,"7 November 2024, 20:19",23,,23,Success
203,Group 9-10,v2 mini,"9 November 2024, 06:14",20,13,20,Success
204,Group 6-69,v2 mini,"11 November 2024, 21:28",24,,24,Success
205,Group 9-11,v2 mini,"14 November 2024, 05:23",20,13,20,Success
206,Group 6-68,v2 mini,"14 November 2024, 13:21",24,,24,Success
207,Group 9-12,v2 mini,"18 November 2024, 05:53",20,13,20,Success
208,Group 6-66,v2 mini,"21 November 2024, 16:07",24,,24,Success
209,Group 9-13,v2 mini,"24 November 2024, 05:25",20,13,20,Success
210,Group 12-1,v2 mini,"25 November 2024, 10:02",23,12,23,Success
211,Group 6-76,v2 mini,"27 November 2024, 04:41",24,,24,Success
212,Group 6-65,v2 mini,"30 November 2024, 05:00",24,,24,Success
213,Group N-01,v2 mini,"30 November 2024, 08:10",20,,20,Success
214,Group 6-70,v2 mini,"4 December 2024, 10:13",24,,24,Success
215,Group 9-14,v2 mini,"5 December 2024, 03:05",20,13,20,Success
216,Group 12-5,v2 mini,"8 December 2024, 05:12",23,13,23,Success
217,Group 11-2,v2 mini,"13 December 2024, 21:55",22,13,22,Success
218,Group 12-2,v2 mini,"23 December 2024, 05:35",21,13,21,Success
219,Group 11-3,v2 mini,"29 December 2024, 01:58",22,,22,Success
220,Group 12-6,v2 mini,"31 December 2024, 05:39",21,13,21,Success
221,Group 6-71,v2 mini,"6 January 2025, 20:43",24,,24,Success
222,Group 12-11,v2 mini,"8 January 2025, 15:27",21,13,21,Success
223,Group 12-12,v2 mini,"10 January 2025, 19:11",21,13,21,Success
224,Group 12-4,v2 mini,"13 January 2025, 16:47",21,13,21,Success
225,Group 13-1,v2 mini,"21 January 2025, 05:24",21,,21,Success
226,Group 11-8,v2 mini,"21 January 2025, 15:45",27,,27,Success
227,Group 11-6,v2 mini,"24 January 2025, 14:07",23,,23,Success
228,Group 12-7,v2 mini,"27 January 2025, 22:05",21,13,21,Success
229,Group 11-4,v2 mini,"2 February 2025, 23:02",22,,22,Success
230,Group 12-3,v2 mini,"4 February 2025, 10:15",21,13,21,Success
231,Group 12-9,v2 mini,"8 February 2025, 19:18",21,13,21,Success
232,Group 11-10,v2 mini,"11 February 2025, 02:09",23,,23,Success
233,Group 12-18,v2 mini,"11 February 2025, 18:53",21,13,21,Success
234,Group 12-8,v2 mini,"15 February 2025, 06:14",21,13,21,Success
235,Group 10-12,v2 mini,"18 February 2025, 23:21",23,,23,Success
236,Group 12-14,v2 mini,"21 February 2025, 15:19",23,13,23,Success
237,Group 15-1,v2 mini,"23 February 2025, 01:38",22,,22,Success
238,Group 12-13,v2 mini,"27 February 2025, 03:34",21,13,21,Success
239,Group 12-20,v2 mini,"3 March 2025, 02:24",21,13,21,Success
240,Group 12-21,v2 mini,"13 March 2025, 02:35",21,13,21,Success
241,Group 12-16,v2 mini,"15 March 2025, 11:35",23,13,23,Success
242,Group 12-25,v2 mini,"18 March 2025, 19:57",23,13,23,Success
243,Group 11-7,v2 mini,"26 March 2025, 22:11",27,,27,Success
244,Group 6-80,v2 mini,"31 March 2025, 19:52",28,,28,Success
245,Group 11-13,v2 mini,"4 April 2025, 01:02",27,,27,Success
246,Group 6-72,v2 mini,"6 April 2025, 03:07",28,,28,Success
247,Group 11-11,v2 mini,"7 April 2025, 23:06",27,,27,Success
248,Group 12-17,v2 mini,"13 April 2025, 00:53",21,13,21,Success
249,Group 6-73,v2 mini,"14 April 2025, 04:00",27,,27,Success
250,Group 6-74,v2 mini,"25 April 2025, 01:52",28,,28,Success
