year,series,kt_per_yr,quality
1741,hand_forged_england_central,22.17,assumed (scenario)
1742,hand_forged_england_central,22.4,assumed (scenario)
1743,hand_forged_england_central,22.62,assumed (scenario)
1744,hand_forged_england_central,22.85,assumed (scenario)
1745,hand_forged_england_central,23.08,assumed (scenario)
1746,hand_forged_england_central,23.31,assumed (scenario)
1747,hand_forged_england_central,23.54,assumed (scenario)
1748,hand_forged_england_central,23.78,assumed (scenario)
1749,hand_forged_england_central,24.02,assumed (scenario)
1750,hand_forged_england_central,24.26,assumed (scenario)
1751,hand_forged_england_central,24.51,assumed (scenario)
1752,hand_forged_england_central,24.75,assumed (scenario)
1753,hand_forged_england_central,25,assumed (scenario)
1754,hand_forged_england_central,25.25,assumed (scenario)
1755,hand_forged_england_central,25.51,assumed (scenario)
1756,hand_forged_england_central,25.76,assumed (scenario)
1757,hand_forged_england_central,26.02,assumed (scenario)
1758,hand_forged_england_central,26.28,assumed (scenario)
1759,hand_forged_england_central,26.55,assumed (scenario)
1760,hand_forged_england_central,26.81,assumed (scenario)
1761,hand_forged_england_central,27.08,assumed (scenario)
1762,hand_forged_england_central,27.35,assumed (scenario)
1763,hand_forged_england_central,27.63,assumed (scenario)
1764,hand_forged_england_central,27.91,assumed (scenario)
1765,hand_forged_england_central,28.19,assumed (scenario)
1766,hand_forged_england_central,28.47,assumed (scenario)
1767,hand_forged_england_central,28.76,assumed (scenario)
1768,hand_forged_england_central,29.05,assumed (scenario)
1769,hand_forged_england_central,29.34,assumed (scenario)
1770,hand_forged_england_central,29.63,assumed (scenario)
1771,hand_forged_england_central,29.93,assumed (scenario)
1772,hand_forged_england_central,30.23,assumed (scenario)
1773,hand_forged_england_central,30.54,assumed (scenario)
1774,hand_forged_england_central,30.84,assumed (scenario)
1775,hand_forged_england_central,31.15,assumed (scenario)
1776,hand_forged_england_central,31.47,assumed (scenario)
1777,hand_forged_england_central,31.78,assumed (scenario)
1778,hand_forged_england_central,32.1,assumed (scenario)
1779,hand_forged_england_central,32.42,assumed (scenario)
1780,hand_forged_england_central,32.75,assumed (scenario)
1781,hand_forged_england_central,33.08,assumed (scenario)
1782,hand_forged_england_central,33.41,assumed (scenario)
1783,hand_forged_england_central,33.75,assumed (scenario)
1784,hand_forged_england_central,34.09,assumed (scenario)
1785,hand_forged_england_central,34.43,assumed (scenario)
1786,hand_forged_england_central,34.77,assumed (scenario)
1787,hand_forged_england_central,35.12,assumed (scenario)
1788,hand_forged_england_central,35.48,assumed (scenario)
1789,hand_forged_england_central,35.83,assumed (scenario)
1790,hand_forged_england_central,36.19,assumed (scenario)
1791,hand_forged_england_central,36.56,assumed (scenario)
1792,hand_forged_england_central,36.92,assumed (scenario)
1793,hand_forged_england_central,37.3,assumed (scenario)
1794,hand_forged_england_central,37.67,assumed (scenario)
1795,hand_forged_england_central,38.05,assumed (scenario)
1796,hand_forged_england_central,38.43,assumed (scenario)
1797,hand_forged_england_central,38.82,assumed (scenario)
1798,hand_forged_england_central,39.21,assumed (scenario)
1799,hand_forged_england_central,39.6,assumed (scenario)
1800,hand_forged_england_central,40,assumed (scenario)
1695,hand_forged_england_high,47.32,assumed (scenario)
1696,hand_forged_england_high,47.56,assumed (scenario)
1697,hand_forged_england_high,47.8,assumed (scenario)
1698,hand_forged_england_high,48.04,assumed (scenario)
1699,hand_forged_england_high,48.28,assumed (scenario)
1700,hand_forged_england_high,48.52,assumed (scenario)
1701,hand_forged_england_high,48.77,assumed (scenario)
1702,hand_forged_england_high,49.01,assumed (scenario)
1703,hand_forged_england_high,49.26,assumed (scenario)
1704,hand_forged_england_high,49.5,assumed (scenario)
1705,hand_forged_england_high,49.75,assumed (scenario)
1706,hand_forged_england_high,50,assumed (scenario)
1707,hand_forged_england_high,50.25,assumed (scenario)
1708,hand_forged_england_high,50.5,assumed (scenario)
1709,hand_forged_england_high,50.76,assumed (scenario)
1710,hand_forged_england_high,51.01,assumed (scenario)
1711,hand_forged_england_high,51.27,assumed (scenario)
1712,hand_forged_england_high,51.52,assumed (scenario)
1713,hand_forged_england_high,51.78,assumed (scenario)
1714,hand_forged_england_high,52.04,assumed (scenario)
1715,hand_forged_england_high,52.3,assumed (scenario)
1716,hand_forged_england_high,52.56,assumed (scenario)
1717,hand_forged_england_high,52.83,assumed (scenario)
1718,hand_forged_england_high,53.09,assumed (scenario)
1719,hand_forged_england_high,53.36,assumed (scenario)
1720,hand_forged_england_high,53.63,assumed (scenario)
1721,hand_forged_england_high,53.89,assumed (scenario)
1722,hand_forged_england_high,54.16,assumed (scenario)
1723,hand_forged_england_high,54.44,assumed (scenario)
1724,hand_forged_england_high,54.71,assumed (scenario)
1725,hand_forged_england_high,54.98,assumed (scenario)
1726,hand_forged_england_high,55.26,assumed (scenario)
1727,hand_forged_england_high,55.54,assumed (scenario)
1728,hand_forged_england_high,55.81,assumed (scenario)
1729,hand_forged_england_high,56.09,assumed (scenario)
1730,hand_forged_england_high,56.38,assumed (scenario)
1731,hand_forged_england_high,56.66,assumed (scenario)
1732,hand_forged_england_high,56.94,assumed (scenario)
1733,hand_forged_england_high,57.23,assumed (scenario)
1734,hand_forged_england_high,57.51,assumed (scenario)
1735,hand_forged_england_high,57.8,assumed (scenario)
1736,hand_forged_england_high,58.09,assumed (scenario)
1737,hand_forged_england_high,58.38,assumed (scenario)
1738,hand_forged_england_high,58.68,assumed (scenario)
1739,hand_forged_england_high,58.97,assumed (scenario)
1740,hand_forged_england_high,59.27,assumed (scenario)
1741,hand_forged_england_high,59.56,assumed (scenario)
1742,hand_forged_england_high,59.86,assumed (scenario)
1743,hand_forged_england_high,60.16,assumed (scenario)
1744,hand_forged_england_high,60.46,assumed (scenario)
1745,hand_forged_england_high,60.77,assumed (scenario)
1746,hand_forged_england_high,61.07,assumed (scenario)
1747,hand_forged_england_high,61.38,assumed (scenario)
1748,hand_forged_england_high,61.68,assumed (scenario)
1749,hand_forged_england_high,61.99,assumed (scenario)
1750,hand_forged_england_high,62.3,assumed (scenario)
1751,hand_forged_england_high,62.62,assumed (scenario)
1752,hand_forged_england_high,62.93,assumed (scenario)
1753,hand_forged_england_high,63.25,assumed (scenario)
1754,hand_forged_england_high,63.56,assumed (scenario)
1755,hand_forged_england_high,63.88,assumed (scenario)
1756,hand_forged_england_high,64.2,assumed (scenario)
1757,hand_forged_england_high,64.52,assumed (scenario)
1758,hand_forged_england_high,64.85,assumed (scenario)
1759,hand_forged_england_high,65.17,assumed (scenario)
1760,hand_forged_england_high,65.5,assumed (scenario)
1761,hand_forged_england_high,65.83,assumed (scenario)
1762,hand_forged_england_high,66.16,assumed (scenario)
1763,hand_forged_england_high,66.49,assumed (scenario)
1764,hand_forged_england_high,66.82,assumed (scenario)
1765,hand_forged_england_high,67.16,assumed (scenario)
1766,hand_forged_england_high,67.49,assumed (scenario)
1767,hand_forged_england_high,67.83,assumed (scenario)
1768,hand_forged_england_high,68.17,assumed (scenario)
1769,hand_forged_england_high,68.51,assumed (scenario)
1770,hand_forged_england_high,68.86,assumed (scenario)
1771,hand_forged_england_high,69.2,assumed (scenario)
1772,hand_forged_england_high,69.55,assumed (scenario)
1773,hand_forged_england_high,69.9,assumed (scenario)
1774,hand_forged_england_high,70.25,assumed (scenario)
1775,hand_forged_england_high,70.6,assumed (scenario)
1776,hand_forged_england_high,70.95,assumed (scenario)
1777,hand_forged_england_high,71.31,assumed (scenario)
1778,hand_forged_england_high,71.67,assumed (scenario)
1779,hand_forged_england_high,72.03,assumed (scenario)
1780,hand_forged_england_high,72.39,assumed (scenario)
1781,hand_forged_england_high,72.75,assumed (scenario)
1782,hand_forged_england_high,73.11,assumed (scenario)
1783,hand_forged_england_high,73.48,assumed (scenario)
1784,hand_forged_england_high,73.85,assumed (scenario)
1785,hand_forged_england_high,74.22,assumed (scenario)
1786,hand_forged_england_high,74.59,assumed (scenario)
1787,hand_forged_england_high,74.97,assumed (scenario)
1788,hand_forged_england_high,75.34,assumed (scenario)
1789,hand_forged_england_high,75.72,assumed (scenario)
1790,hand_forged_england_high,76.1,assumed (scenario)
1791,hand_forged_england_high,76.48,assumed (scenario)
1792,hand_forged_england_high,76.86,assumed (scenario)
1793,hand_forged_england_high,77.25,assumed (scenario)
1794,hand_forged_england_high,77.64,assumed (scenario)
1795,hand_forged_england_high,78.02,assumed (scenario)
1796,hand_forged_england_high,78.42,assumed (scenario)
1797,hand_forged_england_high,78.81,assumed (scenario)
1798,hand_forged_england_high,79.2,assumed (scenario)
1799,hand_forged_england_high,79.6,assumed (scenario)
1800,hand_forged_england_high,80,assumed (scenario)
1795,cut_us,3.27,extrapolated
1796,cut_us,3.445,extrapolated
1797,cut_us,3.629,extrapolated
1798,cut_us,3.822,extrapolated
1799,cut_us,4.026,extrapolated
1800,cut_us,4.241,extrapolated
1801,cut_us,4.468,extrapolated
1802,cut_us,4.706,extrapolated
1803,cut_us,4.957,extrapolated
1804,cut_us,5.222,extrapolated
1805,cut_us,5.501,extrapolated
1806,cut_us,5.794,extrapolated
1807,cut_us,6.104,extrapolated
1808,cut_us,6.429,extrapolated
1809,cut_us,6.773,extrapolated
1810,cut_us,7.134,tabulated
1811,cut_us,7.525,interpolated
1812,cut_us,7.936,interpolated
1813,cut_us,8.371,interpolated
1814,cut_us,8.829,interpolated
1815,cut_us,9.312,interpolated
1816,cut_us,9.822,interpolated
1817,cut_us,10.36,interpolated
1818,cut_us,10.93,interpolated
1819,cut_us,11.52,interpolated
1820,cut_us,12.16,interpolated
1821,cut_us,12.82,interpolated
1822,cut_us,13.52,interpolated
1823,cut_us,14.26,interpolated
1824,cut_us,15.04,interpolated
1825,cut_us,15.87,interpolated
1826,cut_us,16.73,interpolated
1827,cut_us,17.65,interpolated
1828,cut_us,18.62,interpolated
1829,cut_us,19.64,interpolated
1830,cut_us,20.71,interpolated
1831,cut_us,21.84,interpolated
1832,cut_us,23.04,interpolated
1833,cut_us,24.3,interpolated
1834,cut_us,25.63,interpolated
1835,cut_us,27.03,interpolated
1836,cut_us,28.51,interpolated
1837,cut_us,30.07,interpolated
1838,cut_us,31.72,interpolated
1839,cut_us,33.45,interpolated
1840,cut_us,35.29,interpolated
1841,cut_us,37.22,interpolated
1842,cut_us,39.25,interpolated
1843,cut_us,41.4,interpolated
1844,cut_us,43.67,interpolated
1845,cut_us,46.06,interpolated
1846,cut_us,48.58,interpolated
1847,cut_us,51.24,interpolated
1848,cut_us,54.04,interpolated
1849,cut_us,57,interpolated
1850,cut_us,60.12,interpolated
1851,cut_us,63.41,interpolated
1852,cut_us,66.88,interpolated
1853,cut_us,70.54,interpolated
1854,cut_us,74.4,interpolated
1855,cut_us,78.47,interpolated
1856,cut_us,82.77,tabulated
1857,cut_us,87.02,interpolated
1858,cut_us,91.49,interpolated
1859,cut_us,96.18,interpolated
1860,cut_us,101.1,interpolated
1861,cut_us,106.3,interpolated
1862,cut_us,111.8,interpolated
1863,cut_us,117.5,interpolated
1864,cut_us,123.5,interpolated
1865,cut_us,129.9,interpolated
1866,cut_us,136.6,interpolated
1867,cut_us,143.6,interpolated
1868,cut_us,150.9,interpolated
1869,cut_us,158.7,interpolated
1870,cut_us,166.8,interpolated
1871,cut_us,175.4,interpolated
1872,cut_us,184.4,tabulated
1873,cut_us,182.6,tabulated
1874,cut_us,222.8,tabulated
1875,cut_us,214.4,tabulated
1876,cut_us,188.6,tabulated
1877,cut_us,219,tabulated
1878,cut_us,199.4,tabulated
1879,cut_us,227.3,tabulated
1880,cut_us,243.6,tabulated
1881,cut_us,262.8,tabulated
1882,cut_us,278.8,tabulated
1883,cut_us,352.1,tabulated
1884,cut_us,343.9,tabulated
1885,cut_us,303.8,tabulated
1886,cut_us,370.2,tabulated
1887,cut_us,313.4,tabulated
1888,cut_us,294.5,tabulated
1889,cut_us,263.6,tabulated
1890,cut_us,255.9,tabulated
1891,cut_us,226.9,tabulated
1892,cut_us,204.5,tabulated
1893,cut_us,138.3,tabulated
1894,cut_us,110,tabulated
1895,cut_us,96.61,tabulated
1896,cut_us,73.29,tabulated
1897,cut_us,95.56,tabulated
1898,cut_us,71.31,tabulated
1899,cut_us,86.38,tabulated
1900,cut_us,71.37,tabulated
1901,cut_us,69.95,tabulated
1902,cut_us,74.11,tabulated
1903,cut_us,65.13,tabulated
1904,cut_us,58.21,tabulated
1905,cut_us,61.58,tabulated
1906,cut_us,53.94,tabulated
1907,cut_us,50.31,tabulated
1908,cut_us,43.37,tabulated
1909,cut_us,54.78,tabulated
1910,cut_us,45.6,tabulated
1911,cut_us,43.89,tabulated
1912,cut_us,44.38,tabulated
1913,cut_us,38.19,tabulated
1914,cut_us,34.91,tabulated
1915,cut_us,35.17,tabulated
1916,cut_us,34.69,tabulated
1917,cut_us,20.94,tabulated
1918,cut_us,19,tabulated
1919,cut_us,17.89,tabulated
1920,cut_us,38.31,tabulated
1886,wire_us,27.22,trade estimate
1887,wire_us,56.7,trade estimate
1888,wire_us,68.04,trade estimate
1889,wire_us,110.4,trade estimate
1890,wire_us,142.2,tabulated
1891,wire_us,186.6,tabulated
1892,wire_us,214.1,tabulated
1893,wire_us,231.1,tabulated
1894,wire_us,257.7,tabulated
1895,wire_us,265,tabulated
1896,wire_us,214.1,tabulated
1897,wire_us,408.1,tabulated
1898,wire_us,336.5,tabulated
1899,wire_us,345.6,tabulated
1900,wire_us,328.1,tabulated
1901,wire_us,444.7,tabulated
1902,wire_us,498.1,tabulated
1903,wire_us,436.9,tabulated
1904,wire_us,541,tabulated
1905,wire_us,492.4,tabulated
1906,wire_us,521,tabulated
1907,wire_us,532.1,tabulated
1908,wire_us,483.7,tabulated
1909,wire_us,631.2,tabulated
1910,wire_us,576.3,tabulated
1911,wire_us,609.5,tabulated
1912,wire_us,665,tabulated
1913,wire_us,615.1,tabulated
1914,wire_us,595.7,tabulated
1915,wire_us,661.5,tabulated
1916,wire_us,777.8,tabulated
1917,wire_us,773,tabulated
